"Player","BB/100","Hands","VPIP","PFR","3Bet F","Fold to F CBet","WTSD %","WSD","CBet F","CBet T"
"LazyMoney211","1.92","443,850","22.76","13.02","11.73","64.75","28.73","59.16","38.35","65.02"
"1kawfee1","1.59","406,557","23.30","18.89","18.03","43.76","33.78","51.90","52.91","56.37"
"ChipAssasin1","10.88","289,619","21.83","16.60","11.96","57.49","26.71","55.48","70.02","41.85"
"Omort|soN","1.67","172,969","20.83","12.80","14.93","68.87","27.42","59.04","62.81","54.44"
"BlessedOne1125","13.71","160,448","25.10","20.84","8.85","54.79","27.56","56.27","63.23","55.19"
"brook forester","5.98","143,555","21.56","15.49","23.87","61.59","29.29","54.52","61.31","59.00"
"bigotisdog3863","-13.42","136,409","29.62","1.83","2.35","49.23","30.50","55.76","75.27","55.48"
"TurboNSX1031","-31.01","136,275","44.45","18.92","13.36","61.51","29.84","44.38","65.30","58.18"
"CRU JONE5","-2.67","129,958","16.58","6.77","19.25","69.25","27.90","57.16","60.13","54.84"
"tvanbuskirk1","-6.19","127,841","34.88","3.95","6.22","43.88","38.51","57.12","54.12","61.42"
"mekus0","-8.16","127,183","23.81","15.57","13.60","48.94","30.55","54.80","57.83","59.83"
"picklerichie","9.03","122,218","24.14","17.41","8.88","53.09","29.41","61.06","56.93","47.87"
"RABRICH51","5.09","117,303","34.12","21.15","4.03","59.25","27.16","58.65","36.24","50.61"
"fattymcgee420","4.76","112,657","22.44","10.18","3.23","63.63","24.09","53.79","76.83","62.14"
"byronjeter69","-3.10","109,746","20.35","14.07","3.40","55.09","28.02","59.69","36.90","57.53"
"gjs2417","6.95","100,231","19.66","1.70","10.12","55.18","27.50","57.40","85.37","88.70"
"s8ntmergle","-2.06","91,151","19.38","6.07","4.39","57.75","23.50","53.59","95.94","52.21"
"Aetherpyre","2.92","86,776","24.19","13.36","9.59","59.98","28.61","60.71","51.15","52.50"
"PhishPhlayer","9.43","85,726","20.43","13.33","9.32","57.61","28.64","59.72","52.66","69.07"
"KRNage0715","3.61","81,903","25.70","18.22","10.68","61.83","29.22","58.03","47.08","57.37"
"bingjdc72","-5.60","81,555","25.91","0.67","1.90","65.32","26.69","56.96","62.07","76.62"
"lazlo1a","-10.78","79,276","24.18","2.74","3.16","69.82","26.07","60.33","57.54","52.39"
"AJVG103","-8.30","77,010","20.98","6.06","7.62","62.55","23.16","56.79","42.49","38.68"
"c8aj217360","9.88","74,870","28.76","24.68","7.10","50.72","27.69","57.81","57.45","49.79"
"ClickyC","8.12","74,068","23.28","17.40","8.98","45.60","28.78","55.17","64.46","49.41"
"chip67639","-4.92","72,149","24.23","17.02","15.38","50.45","29.45","49.15","54.92","69.22"
