"Player","Hands","BB/100","VPIP","CC 2Bet PF","PFR","3Bet F","Fold to 3Bet","Flop AF","Donk F","CBet F","Fold to F CBet","XR Flop","Bet T","Bet R","Call R Bet","WTSD %","WSD"
"!TzNotyOuRtuRn","47,404","-1.64","39.81","19.72","20.57","3.34","59.16","3.97","50.98","79.38","45.72","4.55","61.41","67.22","26.91","19.29","43.54"
"#1Squasher","696","-2.84","36.56","12.64","15.57","10.00","70.00","4.19","36.11","89.58","58.62","5.56","43.16","38.46","28.57","17.43","44.74"
"#1tightwad","1,785","-31.67","39.62","23.08","7.09","14.29","63.89","2.95","30.77","79.66","51.28","6.67","50.00","46.95","38.81","27.23","39.68"
"#1ump77","1,199","-20.66","50.42","35.56","7.46","14.29","30.95","0.86","9.63","43.18","39.02","4.58","18.77","25.64","35.24","39.88","47.69"
"#FreeOGJ","7,962","-15.66","32.43","17.51","14.91","18.06","53.39","2.75","17.14","69.54","55.34","9.35","36.29","34.65","41.18","28.09","49.54"
"#FREEPOSTLE","8,469","9.11","27.90","1.50","23.09","8.06","77.30","3.30","0.72","64.55","47.74","11.08","38.65","42.95","42.39","27.04","51.90"
"#heffes570","639","-57.28","68.30","61.11","4.27","0.00","50.00","0.44","3.90","76.47","48.81","5.56","28.02","39.46","33.72","38.85","45.36"
"#Jay68carr","1,087","-35.47","49.15","35.71","13.54","0.00","41.46","1.40","5.44","59.42","52.89","4.24","27.31","24.38","32.88","29.52","51.41"
"$$$forDiapers84","1,310","-39.38","35.52","25.00","10.98","7.69","67.86","1.98","12.77","64.00","58.57","4.35","68.20","71.07","33.33","22.14","36.78"
"$$Top_Boy$$ OG","79,103","0.02","23.02","7.61","19.24","9.07","71.25","2.41","1.14","48.19","47.06","8.29","38.57","36.37","29.81","28.36","53.22"
"$1Mplease2535","34,463","-20.93","42.65","11.99","30.84","20.98","46.37","2.30","3.58","66.39","46.35","11.32","44.10","37.32","38.90","33.53","45.03"
