Player,Hands,BB/100,VPIP,PFR,3Bet F,Fold to 3Bet,Flop AF,Donk F,CBet F,Fold to F CBet,XR Flop,Bet T,Bet R,Call R Bet,WTSD %,WSD
player17336,"47,351",-1.7,39.81,20.57,3.36,59.16,3.97,50.95,79.42,45.71,4.56,61.4,67.22,26.94,19.29,43.53
player17337,696,-2.84,36.56,15.57,10,70,4.19,36.11,89.58,58.62,5.56,43.16,38.46,28.57,17.43,44.74
player17338,"1,785",-31.67,39.62,7.09,14.29,63.89,2.95,30.77,79.66,51.28,6.67,50,46.95,38.81,27.23,39.68
player17339,"1,199",-20.66,50.42,7.46,14.29,30.95,0.86,9.63,43.18,39.02,4.58,18.77,25.64,35.24,39.88,47.69
player17340,"7,962",-15.66,32.43,14.91,18.06,53.39,2.75,17.14,69.54,55.34,9.35,36.29,34.65,41.18,28.09,49.54
player17341,"8,469",9.11,27.9,23.09,8.06,77.3,3.3,0.72,64.55,47.74,11.08,38.65,42.95,42.39,27.04,51.9
player17342,639,-57.28,68.3,4.27,0,50,0.44,3.9,76.47,48.81,5.56,28.02,39.46,33.72,38.85,45.36
player17343,"1,087",-35.47,49.15,13.54,0,41.46,1.4,5.44,59.42,52.89,4.24,27.31,24.38,32.88,29.52,51.41
player17344,"1,310",-39.38,35.52,10.98,7.69,67.86,1.98,12.77,64,58.57,4.35,68.2,71.07,33.33,22.14,36.78
player17345,"79,103",0.02,23.02,19.24,9.07,71.25,2.41,1.14,48.19,47.06,8.29,38.57,36.37,29.81,28.36,53.22
player17346,"34,463",-20.93,42.65,30.84,20.98,46.37,2.3,3.58,66.39,46.35,11.32,44.1,37.32,38.9,33.53,45.03
player17347,"7,793",-38.28,39.26,4,10.23,70.11,1.03,15.34,53.42,51.56,1.1,28.31,29.35,31.64,33.96,47.65
player17348,"1,729",-78.31,66.49,15.85,4.92,36.27,1.68,23.67,72.03,48.94,4.23,51.12,50.97,27.48,30.88,39.77
player17349,"4,446",-98.86,56.71,25.33,1.54,48.15,1.51,10.57,73.84,32.57,5.87,53.96,57.99,34.62,28.9,33.28
player17350,"23,920",-9.74,50.27,15.45,6.37,56.29,2.45,31.82,68.63,63.51,2.44,46.01,39.86,28.3,26.11,44.5
player17351,675,-67.74,58.09,10.37,15.63,21.43,2.21,54.32,94.44,45,8.82,62.43,69.23,30,31.95,41.22
player17352,"2,262",-58.7,52.66,13.1,8.89,58.09,1.62,21.66,54,45.12,5.58,36.08,40.22,36.88,32.71,43.1
player17353,"1,165",-20.37,51.43,6.33,4.35,42.42,0.59,14.91,48.65,52.04,1.27,24.83,37.87,19.23,23.88,51.68
player17354,"1,590",6.91,51.21,7.65,6.25,61.36,1.79,12.1,84.48,53.39,3.24,40,40.75,29.29,28.71,52.92
player17355,709,21.35,48.77,10.55,27.27,57.69,2.06,16.46,85.71,64.29,1.67,44.67,36.73,37.14,28.71,42.86
player17356,"21,460",-31.82,29.31,17.25,15.18,57.67,1.2,10.32,43.35,38.6,6.92,37.7,46.66,37.19,31.57,44.09
player17357,"1,381",-111.45,54.65,11.09,8.33,32.08,1.46,38.04,63.86,62.3,2.1,39.64,44.49,32.73,34.44,44.44
player17358,"3,197",-44.3,56.23,24.42,10.91,45,2.57,27.3,68.54,60.54,5.14,44.76,42.12,48.28,33.9,43.33
player17359,604,-18.44,67.85,5.42,8.33,48,0.39,2.91,19.05,62.93,3.05,20.45,44,19.64,26.6,54.46
player17360,"31,789",-11.93,28.57,13.61,4.31,66.47,3.05,17.3,46.81,64.8,7.55,40.61,67.78,19.02,17.66,46.71
player17361,"1,078",14.01,41.12,11.02,0,83.64,0.96,9.47,46.15,53.57,3.37,30.49,31.1,26.32,35.57,55.8
player17362,520,-36.78,44.03,9.2,0,67.74,0.68,2.3,44,30.14,6.06,32.85,41,37.5,40,41.86
player17363,605,61.06,37.84,8.61,9.09,46.67,1.56,17.86,40,62.5,10,42.31,43.28,25,26.61,56.45
player17364,"3,430",-12.74,37.94,6.58,11.32,50,1.4,17.86,76.07,51.14,4.82,38.51,39.71,28.99,30.22,42.93
player17365,910,-74.22,57.33,10,3.23,23.53,0.75,17.35,44.23,55.91,1.53,29.28,38.38,36.54,30.86,45.25
player17366,"1,781",-119.92,41.2,14.28,3.85,52.17,2.13,21.85,86.18,44.14,2.44,42.06,53.48,29.49,31.91,41.07
player17367,"81,214",10.73,31.32,18.93,8.39,72.5,2.43,6.63,64.29,52.4,7.87,38.86,31.05,39.91,28.4,54.74
player17368,"7,213",-4.26,26.43,9.74,8.33,66.76,2.19,1.96,67.56,42.82,9.75,39.17,22.34,39.74,29.66,53.95
player17369,851,-51.12,29.52,16.99,25,57.14,2.67,12.5,58.24,44.83,8.51,37.93,46.94,29.73,31.8,50
player17370,"4,926",-10.62,49.31,11.3,1.54,52.15,0.77,5.47,61.36,54.28,1.31,25.94,42.41,25.96,31.09,51.2
player17371,"5,479",-8.13,46.33,15.45,10,60.27,2.5,29.91,66.25,53.26,5.4,39.96,30.33,29.62,27.79,44.5
player17372,"11,986",3.05,20.95,15.16,10,70.52,1.81,9.23,46.49,55.36,3.2,21.61,19.86,19.26,27.67,59.53
player17373,"10,235",-36.87,38.92,9.63,14.08,59.69,0.63,0.31,51.49,50.38,4.01,18.05,22.9,27.65,33.92,56.43
