,player,hands,bb_100,vpip,pfr,3bet_f,fold_to_3bet,flop_af,donk_f,cbet_f,fold_to_f_cbet,xr_flop,bet_t,bet_r,call_r_bet,wtsd,wsd,cluster,cluster_name
0,!TzNotyOuRtuRn,47351.0,-1.7,39.81,20.57,3.36,59.16,3.97,50.95,79.42,45.71,4.56,61.4,67.22,26.94,19.29,43.53,5,Tight Passive Rocks
2,#1tightwad,1785.0,-31.67,39.62,7.09,14.29,63.89,2.95,30.77,79.66,51.28,6.67,50.0,46.95,38.81,27.23,39.68,4,Overly Aggressive Semi-Loose Players
3,#1ump77,1199.0,-20.66,50.42,7.46,14.29,30.95,0.86,9.63,43.18,39.02,4.58,18.77,25.64,35.24,39.88,47.69,2,Semi-Loose Neutral Players
4,#FreeOGJ,7962.0,-15.66,32.43,14.91,18.06,53.39,2.75,17.14,69.54,55.34,9.35,36.29,34.65,41.18,28.09,49.54,2,Semi-Loose Neutral Players
5,#FREEPOSTLE,8469.0,9.11,27.9,23.09,8.06,77.3,3.3,0.72,64.55,47.74,11.08,38.65,42.95,42.39,27.04,51.9,0,Balanced Semi-Loose Players
7,#Jay68carr,1087.0,-35.47,49.15,13.54,0.0,41.46,1.4,5.44,59.42,52.89,4.24,27.31,24.38,32.88,29.52,51.41,2,Semi-Loose Neutral Players
8,$$$forDiapers84,1310.0,-39.38,35.52,10.98,7.69,67.86,1.98,12.77,64.0,58.57,4.35,68.2,71.07,33.33,22.14,36.78,4,Overly Aggressive Semi-Loose Players
9,$$Top_Boy$$ OG,79103.0,0.02,23.02,19.24,9.07,71.25,2.41,1.14,48.19,47.06,8.29,38.57,36.37,29.81,28.36,53.22,0,Balanced Semi-Loose Players
10,$1Mplease2535,34463.0,-20.93,42.65,30.84,20.98,46.37,2.3,3.58,66.39,46.35,11.32,44.1,37.32,38.9,33.53,45.03,2,Semi-Loose Neutral Players
11,$1skittles,7793.0,-38.28,39.26,4.0,10.23,70.11,1.03,15.34,53.42,51.56,1.1,28.31,29.35,31.64,33.96,47.65,2,Semi-Loose Neutral Players
12,$60dave,1729.0,-78.31,66.49,15.85,4.92,36.27,1.68,23.67,72.03,48.94,4.23,51.12,50.97,27.48,30.88,39.77,6,Loose Aggro Fish
13,$B(MFIN)M172,4446.0,-98.86,56.71,25.33,1.54,48.15,1.51,10.57,73.84,32.57,5.87,53.96,57.99,34.62,28.9,33.28,6,Loose Aggro Fish
14,$BIGMOON23,23920.0,-9.74,50.27,15.45,6.37,56.29,2.45,31.82,68.63,63.51,2.44,46.01,39.86,28.3,26.11,44.5,5,Tight Passive Rocks
16,$endthat436,2262.0,-58.7,52.66,13.1,8.89,58.09,1.62,21.66,54.0,45.12,5.58,36.08,40.22,36.88,32.71,43.1,1,Loose Passive Callers
17,$hadow92,1165.0,-20.37,51.43,6.33,4.35,42.42,0.59,14.91,48.65,52.04,1.27,24.83,37.87,19.23,23.88,51.68,2,Semi-Loose Neutral Players
18,$hocka989,1590.0,6.91,51.21,7.65,6.25,61.36,1.79,12.1,84.48,53.39,3.24,40.0,40.75,29.29,28.71,52.92,5,Tight Passive Rocks
20,$ite$123,21460.0,-31.82,29.31,17.25,15.18,57.67,1.2,10.32,43.35,38.6,6.92,37.7,46.66,37.19,31.57,44.09,2,Semi-Loose Neutral Players
21,$keeter215,1381.0,-111.45,54.65,11.09,8.33,32.08,1.46,38.04,63.86,62.3,2.1,39.64,44.49,32.73,34.44,44.44,6,Loose Aggro Fish
22,$leepyeyeguy,3197.0,-44.3,56.23,24.42,10.91,45.0,2.57,27.3,68.54,60.54,5.14,44.76,42.12,48.28,33.9,43.33,4,Overly Aggressive Semi-Loose Players
24,$olid_$take,31789.0,-11.93,28.57,13.61,4.31,66.47,3.05,17.3,46.81,64.8,7.55,40.61,67.78,19.02,17.66,46.71,5,Tight Passive Rocks
25,$p@rky056,1078.0,14.01,41.12,11.02,0.0,83.64,0.96,9.47,46.15,53.57,3.37,30.49,31.1,26.32,35.57,55.8,0,Balanced Semi-Loose Players
28,$tacks999,3430.0,-12.74,37.94,6.58,11.32,50.0,1.4,17.86,76.07,51.14,4.82,38.51,39.71,28.99,30.22,42.93,5,Tight Passive Rocks
30,$tonehand$,1781.0,-119.92,41.2,14.28,3.85,52.17,2.13,21.85,86.18,44.14,2.44,42.06,53.48,29.49,31.91,41.07,6,Loose Aggro Fish
31,$toopid7,81214.0,10.73,31.32,18.93,8.39,72.5,2.43,6.63,64.29,52.4,7.87,38.86,31.05,39.91,28.4,54.74,0,Balanced Semi-Loose Players
32,$uperior£uck,7213.0,-4.26,26.43,9.74,8.33,66.76,2.19,1.96,67.56,42.82,9.75,39.17,22.34,39.74,29.66,53.95,0,Balanced Semi-Loose Players
34,*Moz*Moz*610*,4926.0,-10.62,49.31,11.3,1.54,52.15,0.77,5.47,61.36,54.28,1.31,25.94,42.41,25.96,31.09,51.2,2,Semi-Loose Neutral Players
